%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=212147, 2015/04/23 20:20:39.48)
1 9 -1.475595861714234164e-11 0 0 -1.419749e+00 -1.781960e+00 -6.252371e-01 -4.843307e-01 
2 17 -2.064113416928567366e-11 0 0 -1.830001e+00 -1.559760e+00 -5.072758e-01 -9.086611e-01 
3 25 -1.211729169010621197e-11 0 0 -2.417256e+00 -1.811868e+00 6.077296e-01 -7.263082e-01 
4 33 -1.448046383230406303e-11 0 0 -1.838834e+00 -2.569928e+00 8.094381e-01 -7.744754e-01 
5 41 -1.958199159080006932e-11 0 0 -1.839007e+00 -2.643370e+00 -6.942762e-01 -1.560534e+00 
6 49 -2.796439860711100583e-11 0 0 -2.320918e+00 -9.684939e-01 8.505874e-01 -1.475419e+00 
7 57 -2.668966484408695994e-11 0 0 -1.604504e+00 -1.038043e+00 1.412965e+00 -2.142363e+00 
8 65 -9.363971157280100977e-12 0 0 -1.201605e+00 -1.730461e+00 1.081073e+00 -8.418902e-01 
9 73 -2.483045728559315244e-11 0 0 -7.515824e-01 -1.859657e+00 9.113947e-01 -1.350667e+00 
10 81 -1.316538256887761710e-11 0 0 -1.569702e+00 -1.888934e+00 -1.437524e-02 -1.216733e+00 
