%  columns="iteration, evaluation, void, void, void, xmean" (startseed=212147, 2015/04/23 20:20:39.48)
0 1 0 0 0 -2.282224e+00 -1.606420e+00 -1.366837e+00 -6.029997e-01 
1 9 0 0 0 -1.687702e+00 -8.022007e-01 -6.364307e-01 -4.880704e-01 
2 17 0 0 0 -2.055498e+00 -1.486487e+00 -3.596100e-01 -5.586544e-01 
3 25 0 0 0 -2.343513e+00 -2.157382e+00 -2.781778e-01 -8.996977e-01 
4 33 0 0 0 -1.995897e+00 -2.317443e+00 1.190767e-01 -8.843139e-01 
5 41 0 0 0 -2.209095e+00 -2.147823e+00 -5.246865e-01 -1.260177e+00 
6 49 0 0 0 -2.323732e+00 -1.545201e+00 -4.640337e-02 -1.449550e+00 
7 57 0 0 0 -1.668816e+00 -1.610199e+00 6.939119e-01 -1.690597e+00 
8 65 0 0 0 -1.292843e+00 -1.489792e+00 5.470288e-01 -1.367651e+00 
9 73 0 0 0 -9.668604e-01 -1.967558e+00 8.126515e-01 -1.487459e+00 
10 81 0 0 0 -1.500473e+00 -1.922290e+00 2.327092e-01 -1.755310e+00 
